"","uniform_id","trialid","trialnum","itemid","cond","fixid","start","stop","xs","ys","xn","yn","ym","dur","ps","sac.in","sac.out","type","blink","line","line.change","line.let","line.word","letternum","letter","wordnum","word","ianum","ia","sentnum","sent","sent.nwords","trial.x","trial.nwords","word.fix","word.run","word.runid","word.run.fix","word.firstskip","word.refix","word.launch","word.land","word.cland","word.reg.out","word.reg.in","word.reg.out.to","word.reg.in.from","ia.fix","ia.run","ia.runid","ia.run.fix","ia.firstskip","ia.refix","ia.launch","ia.land","ia.cland","ia.reg.out","ia.reg.in","ia.reg.out.to","ia.reg.in.from","sent.word","sent.fix","sent.run","sent.runid","sent.run.fix","sent.firstskip","sent.refix","sent.reg.out","sent.reg.in","sent.reg.out.to","sent.reg.in.from","lang","trial.y","supplementary_id","uniform_id"
"1658953","uk01",1,2,"1",1,1,1,321,209.9,114.6,209.9,114.6,101,321,704,NA,13,"in",0,1,0,8,2,8,"e",2,"ancient",2,"ancient",1,"In ancient Roman rel",14,"In ancient Roman religion and",182,1,1,1,1,0,0,NA,5,1,0,0,NA,NA,1,1,1,1,0,0,NA,6,2,0,0,NA,NA,2,1,1,1,1,0,0,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658954","uk01",1,2,"1",1,2,371,551,408.9,95.5,408.9,95.5,101,181,673,13,-5,"in",0,1,0,21,4,21,"i",4,"religion",4,"religion",1,"In ancient Roman rel",14,"In ancient Roman religion and",182,1,1,1,1,0,0,9,4,-0.5,1,0,3,NA,1,1,1,1,0,0,8,5,0.5,1,0,3,NA,4,2,1,1,2,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658955","uk01",1,2,"1",1,3,576,728,328.6,93.9,328.6,93.9,101,153,650,-5,15,"in",0,1,0,16,3,16,"n",3,"Roman",3,"Roman",1,"In ancient Roman rel",14,"In ancient Roman religion and",182,1,1,2,1,1,0,-1,5,2,0,1,NA,4,1,1,2,1,1,0,0,6,3,0,1,NA,4,3,3,1,1,3,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658956","uk01",1,2,"1",1,4,769,925,554.1,91.5,554.1,91.5,101,157,643,15,-11,"in",0,1,0,31,6,31,"m",6,"myth,",6,"myth,",1,"In ancient Roman rel",14,"In ancient Roman religion and",182,1,1,2,1,0,0,14,1,-2,1,0,4,NA,1,1,2,1,0,0,13,2,-1,1,0,4,NA,6,4,1,1,4,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658957","uk01",1,2,"1",1,5,959,1093,399.4,95.9,399.4,95.9,101,135,637,-11,-7,"in",0,1,0,20,4,20,"l",4,"religion",4,"religion",1,"In ancient Roman rel",14,"In ancient Roman religion and",182,2,2,3,1,0,0,-10,3,-1.5,1,1,3,6,2,2,3,1,0,0,-9,4,-0.5,1,1,3,6,4,5,1,1,5,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658958","uk01",1,2,"1",1,6,1123,1304,290,97.5,290,97.5,101,182,629,-7,10,"in",0,1,0,13,3,13,"o",3,"Roman",3,"Roman",1,"In ancient Roman rel",14,"In ancient Roman religion and",182,2,2,3,1,0,0,-4,2,-1,0,1,NA,4,2,2,3,1,0,0,-3,3,0,0,1,NA,4,3,6,1,1,6,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658959","uk01",1,2,"1",1,7,1334,1594,437.6,92,437.6,92,101,261,627,10,-2,"in",0,1,0,23,4,23,"i",4,"religion",4,"religion",1,"In ancient Roman rel",14,"In ancient Roman religion and",182,3,2,3,2,0,0,4,6,1.5,0,0,NA,NA,3,2,3,2,0,0,3,7,2.5,0,0,NA,NA,4,7,1,1,7,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658960","uk01",1,2,"1",1,8,1609,1777,411.8,92,411.8,92,101,169,618,-2,11,"in",0,1,0,21,4,21,"i",4,"religion",4,"religion",1,"In ancient Roman rel",14,"In ancient Roman religion and",182,4,2,3,3,0,1,4,4,-0.5,0,0,NA,NA,4,2,3,3,0,1,5,5,0.5,0,0,NA,NA,4,8,1,1,8,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658961","uk01",1,2,"1",1,9,1823,2035,567.2,91.3,567.2,91.3,101,213,623,11,5,"in",0,1,0,32,6,32,"y",6,"myth,",6,"myth,",1,"In ancient Roman rel",14,"In ancient Roman religion and",182,2,2,3,1,0,0,9,2,-1,0,0,NA,NA,2,2,3,1,0,0,8,3,0,0,0,NA,NA,6,9,1,1,9,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658962","uk01",1,2,"1",1,10,2063,2239,652.9,91.1,652.9,91.1,101,177,643,5,5,"in",0,1,0,37,7,37,"J",7,"Janus",7,"Janus",1,"In ancient Roman rel",14,"In ancient Roman religion and",182,1,1,3,1,0,0,4,1,-2,0,0,NA,NA,1,1,3,1,0,0,3,2,-1,0,0,NA,NA,7,10,1,1,10,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
