"uniform_id","trialid","trial.nwords","nblink","nrun","nfix","nout","sac","skip","refix","reg","mfix","firstpass","rereading","total","rate","ACCURACY"
"en_uk_1",1,182,8,43,186,0,10.028,0.516,0.139,0.385,181,25580,8116,33696,324,3
"en_uk_1",10,180,4,36,145,0,11.964,0.578,0.091,0.3,171,20614,4230,24844,435,2
"en_uk_1",11,176,6,38,184,0,11.868,0.528,0.241,0.339,180,24164,8983,33147,319,3
"en_uk_1",12,164,4,28,143,0,10.851,0.549,0.186,0.289,178,21330,4094,25424,387,2
"en_uk_1",2,183,5,28,152,0,10.483,0.552,0.202,0.303,173,22540,3716,26256,418,4
"en_uk_1",3,186,7,47,205,0,10.828,0.5,0.176,0.359,181,28964,8191,37155,300,4
"en_uk_1",4,182,5,39,188,0,11.266,0.538,0.193,0.361,174,23751,9000,32751,333,4
"en_uk_1",5,167,4,33,159,0,10.45,0.479,0.195,0.292,176,24595,3385,27980,358,2
"en_uk_1",6,152,2,18,107,0,10.568,0.579,0.16,0.247,173,16138,2320,18458,494,4
"en_uk_1",7,199,5,49,202,0,10.168,0.523,0.147,0.38,175,27062,8197,35259,339,4
"en_uk_1",8,136,4,20,113,0,11.315,0.551,0.203,0.291,182,17352,3198,20550,397,3
"en_uk_1",9,200,3,31,163,0,11.162,0.55,0.193,0.277,167,23752,3448,27200,441,4
"en_uk_10",1,182,26,26,171,0,8.569,0.429,0.153,0.202,187,26728,5208,31936,342,2
"en_uk_10",10,180,11,19,164,0,9.699,0.417,0.15,0.158,231,32830,4981,37811,286,3
"en_uk_10",11,176,16,24,209,0,9.472,0.381,0.244,0.171,233,36032,12587,48619,217,1
"en_uk_10",12,164,13,16,152,0,8.827,0.402,0.138,0.156,209,27204,4550,31754,310,3
"en_uk_10",2,183,25,24,158,0,8.566,0.415,0.132,0.186,194,28345,2379,30724,357,4
"en_uk_10",3,186,18,19,176,0,9.143,0.392,0.211,0.148,187,29584,3410,32994,338,4
"en_uk_10",4,182,24,29,205,0,9,0.407,0.215,0.231,196,30394,9714,40108,272,3
"en_uk_10",5,167,31,15,201,0,8.914,0.353,0.25,0.117,199,29766,10227,39993,251,3
"en_uk_10",6,152,11,14,122,0,8.922,0.428,0.102,0.133,211,22844,2930,25774,354,4
"en_uk_10",7,199,24,28,214,0,8.471,0.402,0.153,0.168,218,33242,13386,46628,256,4
"en_uk_10",8,136,12,11,112,0,9.365,0.449,0.167,0.131,213,21290,2552,23842,342,3
"en_uk_10",9,200,8,23,172,0,8.778,0.44,0.12,0.165,218,31860,5552,37412,321,4
"en_uk_12",10,180,12,34,181,0,9.791,0.528,0.164,0.336,242,34440,9366,43806,247,4
"en_uk_12",11,176,24,51,246,0,8.02,0.767,0.301,0.353,247,42294,18552,60846,174,3
"en_uk_12",12,164,13,43,187,0,9.821,0.573,0.182,0.373,228,30679,11879,42558,231,4
"en_uk_12",2,183,16,46,214,0,8.594,0.454,0.156,0.369,232,39033,10683,49716,221,4
"en_uk_12",3,186,16,56,239,0,9.594,0.468,0.188,0.384,228,36235,18189,54424,205,4
"en_uk_12",4,182,16,44,226,0,9.634,0.478,0.237,0.397,225,38052,12845,50897,215,4
"en_uk_12",6,152,14,39,159,0,9.592,0.52,0.12,0.38,239,28443,9571,38014,240,4
"en_uk_12",7,199,17,45,211,0,9.758,0.588,0.136,0.364,244,37140,14366,51506,232,4
"en_uk_12",8,136,8,37,155,0,10.353,0.691,0.149,0.447,232,24548,11443,35991,227,3
"en_uk_12",9,200,16,42,214,0,9.139,0.54,0.197,0.372,237,38147,12547,50694,237,4
"en_uk_13",1,182,7,18,164,0,8.257,0.418,0.132,0.175,175,21146,7531,28677,381,1
"en_uk_13",10,180,7,12,144,0,8.902,0.428,0.118,0.136,174,22235,2807,25042,431,3
"en_uk_13",11,176,7,19,170,0,8.607,0.398,0.178,0.153,184,25290,5960,31250,338,2
"en_uk_13",12,164,7,10,136,0,9.615,0.427,0.14,0.11,169,19373,3573,22946,429,4
"en_uk_13",2,183,4,13,137,0,8.467,0.426,0.07,0.104,183,22514,2508,25022,439,4
"en_uk_13",3,186,4,13,180,0,8.961,0.382,0.22,0.106,175,25324,6135,31459,355,4
"en_uk_13",4,182,4,11,155,0,7.95,0.401,0.195,0.088,179,25458,2344,27802,393,4
"en_uk_13",5,167,4,12,155,0,10.007,0.437,0.191,0.118,175,23022,4067,27089,370,2
"en_uk_13",6,152,4,13,120,0,8.906,0.474,0.121,0.132,170,17285,3070,20355,448,4
"en_uk_13",8,136,3,9,98,0,9.64,0.515,0.048,0.119,187,16825,1511,18336,445,4
"en_uk_13",9,200,6,19,155,0,9.231,0.435,0.063,0.134,178,23709,3903,27612,435,4
"en_uk_14",1,182,6,16,146,0,9.465,0.44,0.177,0.133,289,37833,4381,42214,259,0
"en_uk_14",11,176,6,17,146,0,9.463,0.562,0.186,0.15,289,38900,3226,42126,251,1
"en_uk_14",2,183,6,16,129,0,9.158,0.574,0.102,0.139,265,31433,2757,34190,321,3
"en_uk_14",3,186,8,16,151,0,8.953,0.489,0.148,0.131,286,40468,2726,43194,258,1
"en_uk_14",4,182,8,14,151,0,9.157,0.434,0.172,0.112,280,39571,2742,42313,258,3
"en_uk_14",9,200,6,12,140,0,8.966,0.52,0.154,0.103,301,40252,1954,42206,284,3
"en_uk_15",1,182,10,27,190,0,8.168,0.824,0.168,0.224,191,27838,8482,36320,301,2
"en_uk_15",10,180,4,27,185,0,7.679,0.361,0.156,0.215,201,31455,5659,37114,291,3
"en_uk_15",11,176,2,37,214,2,8.821,0.409,0.195,0.289,210,31375,13594,44969,235,4
"en_uk_15",12,164,1,20,166,0,7.911,0.317,0.116,0.157,197,26362,6284,32646,301,4
"en_uk_15",2,183,10,29,197,0,7.503,0.383,0.194,0.216,189,30858,6473,37331,294,2
"en_uk_15",3,186,10,30,220,0,7.839,0.425,0.272,0.206,188,33119,8226,41345,270,4
"en_uk_15",5,167,8,27,201,0,8.018,0.305,0.216,0.232,195,29673,9497,39170,256,4
"en_uk_15",6,152,6,27,166,0,7.776,0.401,0.189,0.189,208,25228,9300,34528,264,4
"en_uk_15",7,199,3,38,226,0,7.94,0.357,0.18,0.213,194,33507,10408,43915,272,4
"en_uk_15",8,136,4,19,137,0,7.852,0.368,0.133,0.184,204,22016,5978,27994,291,2
"en_uk_15",9,200,5,24,200,0,7.731,0.37,0.219,0.19,190,31981,6044,38025,316,4
"en_uk_16",1,182,10,76,324,0,8.163,0.604,0.285,0.464,221,40713,30832,71545,153,3
"en_uk_16",10,180,9,57,275,0,8.164,0.511,0.3,0.371,220,36695,23763,60458,179,2
"en_uk_16",11,176,6,32,252,0,8.745,0.42,0.373,0.246,227,41789,15482,57271,184,3
"en_uk_16",12,164,8,42,246,0,8.443,0.488,0.354,0.381,243,36712,23167,59879,164,2
"en_uk_16",2,183,8,50,262,0,7.977,0.503,0.285,0.4,230,36960,23222,60182,182,4
"en_uk_16",3,186,12,68,346,0,8.694,0.462,0.325,0.411,242,42598,41306,83904,133,4
"en_uk_16",4,182,10,77,349,1,7.744,0.451,0.287,0.467,241,42260,41823,84083,130,4
"en_uk_16",5,167,11,49,256,0,8.767,0.521,0.275,0.305,248,41810,21663,63473,158,3
"en_uk_16",6,152,4,49,215,5,8.837,0.862,0.276,0.422,257,31888,23262,55150,165,4
