id,in_span_mean,out_span_mean,relative_TRT,Text_TRT,Target_TRT,Fix_Target,target_to_fixation_ratio,Fix_Total,Correct_Flag
A10BH9PYCYUKDJ,436.14285714285717,634.0,0.09963498503908637,63833.0,6360.0,42,0.1144414169,367,1
A10W3EILX06DFO,55.57142857142857,102.32142857142857,0.04390023699356732,8861.0,389.0,7,0.0479452055,146,1
A11EZAV2HRYKD5,161.75,137.77083333333334,0.06739583333333334,9600.0,647.0,6,0.0454545455,132,1
A11M4E3N6Q8918,352.3333333333333,496.05172413793105,0.02039306669356601,59481.0,1213.0,12,0.0226415094,530,0
A11YS0T8MV3Q7C,679.4615384615385,460.3,0.14980065181067712,60447.0,9055.0,46,0.1069767442,430,1
A12HLLXWOQJ14Q,283.10526315789474,376.01612903225805,0.15036519957954883,37103.0,5579.0,67,0.1519274376,441,1
A12NT768CR36E5,96.0,189.0625,0.020349761526232114,9435.0,192.0,2,0.0181818182,110,0
A13WTEQ06V3B6D,187.0,237.46938775510205,0.019241652518392757,19437.0,374.0,3,0.0153846154,195,1
A160BYMX7X0EPG,310.8333333333333,310.55172413793105,0.061891772338543205,27128.0,1679.0,21,0.0625,336,1
A17Q4QN6UE0EZC,135.0,254.15686274509804,0.022937333655939994,20665.0,474.0,6,0.0280373832,214,1
A18JFH5XQAUVAK,75.0,131.0,0.02704652001442481,5546.0,150.0,2,0.0281690141,71,1
A18MDEBDC9B19A,0,151.63636363636363,0.0,1842.0,0.0,1,0.0588235294,17,1
A19F9CLZ0XWBYR,116.0,195.42857142857142,0.024370192025368487,17029.0,415.0,6,0.0320855615,187,1
A19L8SNH73AX1Z,360.0,328.6666666666667,0.03739439650291047,44151.0,1651.0,13,0.0372492837,349,1
A1B7X75L6JOPGM,121.66666666666667,90.125,0.13845702552068054,3409.0,472.0,7,0.1489361702,47,1
A1BASVXQK125PD,88.0,211.20289855072463,0.013914693441910108,25297.0,352.0,5,0.0183150183,273,1
A1CPY1HLCFTIL1,409.75,1249.5873015873017,0.014295395435730246,109196.0,1561.0,14,0.0149892934,934,1
A1D26DHX9CDRGI,109.75,112.7,0.06944804353459445,3859.0,268.0,2,0.0392156863,51,1
A1D41E24S4E4I4,152.0,358.0379746835443,0.026493620550852626,40991.0,1086.0,12,0.0281030445,427,1
A1FMSDBXC2CYM0,174.0,266.9230769230769,0.03410030311380546,14516.0,495.0,5,0.0235849057,212,1
A1HR8IRDC07FO9,1574.0,1139.7450980392157,0.062367502870771134,181136.0,11297.0,110,0.0596529284,1844,0
A1IJ6E21R29K53,229.23076923076923,186.61111111111111,0.17893996247654784,17056.0,3052.0,39,0.1902439024,205,0
A1ISZTMNHXPB4C,510.42857142857144,251.4367816091954,0.10606921719362268,33431.0,3546.0,35,0.0918635171,381,1
A1JI19KPIVNL3Y,218.33333333333334,324.25,0.02098282931829831,31216.0,655.0,9,0.0252808989,356,0
A1JVDJPJN1XHLD,316.42857142857144,485.1818181818182,0.0365709444552306,56657.0,2072.0,22,0.0389380531,565,0
A1JWPEUSQYB6XL,82.25,194.28571428571428,0.04603330068560235,7147.0,329.0,4,0.0727272727,55,0
A1K76PLMB0YQT5,0,642.4492753623189,0.0,78720.0,0.0,0,0.0,923,1
A1KGPGSI6I9TQ5,278.0,149.26829268292684,0.05285171102661597,10520.0,556.0,5,0.0427350427,117,1
A1LTVR9DOB62B1,0,486.1875,0.0,45496.0,0.0,0,0.0,417,1
A1N93G08WP4XH7,0,255.0,0.0,19456.0,0.0,0,0.0,154,1
A1NQOR4RQJJDMW,131.28571428571428,158.05882352941177,0.06519244012548779,13069.0,852.0,8,0.0563380282,142,0
A1OM5NWYYYJKQW,228.0,334.8813559322034,0.02329954218443427,36696.0,855.0,7,0.0324074074,216,1
A1OZPLHNIU1519,70.0,133.54545454545453,0.01042364678728315,13431.0,140.0,2,0.0125786164,159,1
A1PHDT66U6IK4Q,337.75,463.3333333333333,0.032091762922819025,87094.0,2795.0,34,0.0325047801,1046,1
A1QMJNJ5FGC09,0,534.9479166666666,0.0,84092.0,0.0,0,0.0,645,1
A1T9BJRS4IL8VQ,0,92.16129032258064,0.0,4694.0,0.0,0,0.0,62,1
A1VGM6OJRPRNCQ,78.0,145.71428571428572,0.013133524162316888,5939.0,78.0,1,0.0131578947,76,0
A1WH32GYQOHIRQ,50.0,260.51162790697674,0.0016212185078304854,30841.0,50.0,1,0.0033112583,302,1
A1WRZX4HNRMVG1,144.25,438.6818181818182,0.012912115953863428,39188.0,506.0,5,0.0161812298,309,1
A1X2SSCWCB9N76,268.6666666666667,238.51063829787233,0.20881550475115251,21258.0,4439.0,47,0.2126696833,221,1
A1YRYQBQGQRY1Q,62.0,424.55434782608694,0.006063825889422197,54586.0,331.0,5,0.0110619469,452,1
A1YTB9G04PC71S,238.66666666666666,247.61971830985917,0.032467238017503286,22053.0,716.0,6,0.027027027,222,1
A20SL254675EOK,107.57142857142857,113.5,0.08992118461905899,8374.0,753.0,9,0.0927835052,97,1
A21ZK49H9LSSRY,173.66666666666666,240.31460674157304,0.05121577093512101,35204.0,1803.0,23,0.0527522936,436,1
A224ZKQ83DQ3P3,657.25,702.1444444444444,0.05501808698578279,95096.0,5232.0,51,0.0542553191,940,1
A23KAJRDVCVGOE,120.0,229.8227848101266,0.009043635541487679,26538.0,240.0,3,0.009009009,333,1
A24LB89P1BPKKF,116.0,355.3424657534247,0.003154917319408181,36768.0,116.0,1,0.0027700831,361,1
A25TQ73VVCOM4X,429.6666666666667,306.8484848484849,0.0413450096115705,32773.0,1355.0,14,0.0433436533,323,1
A28VE2YSRYE3B8,251.8,271.6842105263158,0.058230424124693585,21621.0,1259.0,13,0.0528455285,246,0
A292T1OXCVXN78,131.75,166.9512195121951,0.08029252685305097,13127.0,1054.0,11,0.0780141844,141,1
A293JF50QSYCRO,288.6,294.09090909090907,0.08248921630397907,20633.0,1702.0,17,0.0798122066,213,1
A2APG8MSLJ6G2K,520.0,386.69767441860466,0.07109826589595376,27680.0,1968.0,20,0.0643086817,311,0
A2G57M3XD1AIBS,170.0,290.52941176470586,0.010626024652377193,32938.0,350.0,3,0.0096463023,311,0
A2H1QUGX0SOUMH,397.5,156.6875,0.05027191096496775,15814.0,795.0,10,0.0476190476,210,1
A2HOEI5M6G883O,781.3333333333334,551.5593220338983,0.040868795806273894,59899.0,2448.0,6,0.0263157895,228,1
A2I6ZALE49CVSC,236.64285714285714,198.34146341463415,0.20105059441526127,18085.0,3636.0,33,0.1833333333,180,1
A2IFHU3P1MF54K,547.2941176470588,628.6829268292682,0.10952898758083901,87365.0,9569.0,44,0.0852713178,516,1
A2IQ0QCTQ3KWLT,300.8333333333333,501.27142857142854,0.040814019219898245,44225.0,1805.0,12,0.06,200,1
A2LLOJFA11FSZF,87.0,152.61904761904762,0.06074498567335244,5235.0,318.0,4,0.0588235294,68,1
A2N9U74YIPDQ9F,136.25,189.85454545454544,0.036396420462134364,14974.0,545.0,4,0.0305343511,131,1
A2OU4N4VBIE91I,255.25,289.72151898734177,0.04077160596301338,30119.0,1228.0,8,0.0330578512,242,1
A2OVX9UW5WANQE,191.66666666666666,243.58928571428572,0.019385725363271634,29661.0,575.0,7,0.0189701897,369,0
A2PSR3CMNR1R9X,458.25,330.375,0.10063411018693898,36429.0,3666.0,16,0.062745098,255,1
A2QABS5PO2AYES,382.85714285714283,279.8529411764706,0.1259442184776293,20652.0,2601.0,19,0.1233766234,154,0
A2RBF3IIJP15IH,135.4,179.6451612903226,0.02702449533979673,21351.0,577.0,7,0.0300429185,233,1
A2RC9V49MHS973,0,305.9795918367347,0.0,27640.0,0.0,0,0.0,268,0
A2UKBPPWF76NCT,0,283.7457627118644,0.0,26354.0,0.0,0,0.0,331,1
A2V27A9GZA1NR2,210.8,266.27777777777777,0.03455058021372845,30506.0,1054.0,11,0.0404411765,272,1
A2VLTSW6CXIUMR,419.14285714285717,646.2718446601941,0.022888474784627844,102497.0,2346.0,22,0.0259128386,849,1
A2VO8C41JJIQY9,636.6666666666666,419.91954022988506,0.05881048528278985,85682.0,5039.0,49,0.0569105691,861,1
A2VOJULWLB9LYU,152.28571428571428,461.7176470588235,0.019313343599963766,55195.0,1066.0,12,0.0246406571,487,1
A2WBGRTWOXDE6M,385.2,379.9270833333333,0.047114553030898655,50876.0,2397.0,9,0.0334572491,269,1
A2XENTYL1D1UOL,95.0,487.1707317073171,0.008456062655114506,67289.0,569.0,5,0.0065963061,758,1
A2Y87M8V0N1M6P,220.5,406.85897435897436,0.008802395209580838,50100.0,441.0,4,0.0127388535,314,1
A2YC6PEMIRSOAA,67.0,251.41666666666666,0.003378548736826181,19831.0,67.0,1,0.004784689,209,0
A2YP60DM1HYTH8,136.0,389.07246376811594,0.005389874170216982,50465.0,272.0,3,0.0078740157,381,1
A2YTY52FZNII62,214.0,251.71641791044777,0.0315103610339671,28086.0,885.0,11,0.0296495957,371,1
A2Z5A7TCIR8M6E,177.5,298.5507246376812,0.07686222808174027,30340.0,2332.0,27,0.0876623377,308,1
A2Z6GCD1ZNCT6Z,107.4,219.28985507246378,0.023082874828060523,23264.0,537.0,6,0.0248962656,241,0
A2ZDEERVRN5AMC,344.0,318.03333333333336,0.009511959076455136,36165.0,344.0,2,0.0072992701,274,0
A2ZSL0EDN3H4AT,234.66666666666666,361.5326086956522,0.00704154308657668,49563.0,349.0,3,0.0068649886,437,1
A3084P5PROPWOI,130.0,307.2307692307692,0.007599006283793658,34215.0,260.0,3,0.0069124424,434,1
A34NDXO56MBC3D,71.5,174.35714285714286,0.009943675683193102,14381.0,143.0,2,0.014084507,142,1
A35J0Z5315SEBK,314.75,353.5,0.03207398160650141,39253.0,1259.0,12,0.0294117647,408,1
A35P3396DDWKTT,250.45833333333334,201.41666666666666,0.2364756488772237,27432.0,6487.0,72,0.2285714286,315,1
A361512FNHY889,174.58333333333334,221.04054054054055,0.08249767008387698,26825.0,2213.0,23,0.074433657,309,0
A36IB78C6MVA3,187.77777777777777,271.4871794871795,0.09752932627426554,38532.0,3758.0,45,0.0965665236,466,0
A3785TR8D5I81Q,445.2,327.05263157894734,0.046624638823220384,45684.0,2130.0,25,0.0536480687,466,1
A379B5GPHSV7TX,273.0,220.36170212765958,0.037621442844346445,14513.0,546.0,5,0.0318471338,157,1
A37E5WQJFDG6QG,107.4,192.93939393939394,0.034636871508379886,10740.0,372.0,4,0.0330578512,121,1
A38DHLB88V8DL8,320.75,321.4769230769231,0.044994590466492713,31426.0,1414.0,15,0.0406504065,369,1
A39SK1E6IMQBD5,85.0,489.64,0.0016106416038200629,52774.0,85.0,1,0.0021929825,456,1
A3A1KP2SJRGNRZ,82.5,84.21739130434783,0.10724731881702958,3077.0,330.0,4,0.0952380952,42,0
A3B2YRSMSC2J3T,65.2,90.57894736842105,0.1425448185395715,2287.0,326.0,5,0.1388888889,36,0
A3C6TJDUSBLFCX,112.33333333333333,127.3157894736842,0.09235406960811181,3649.0,337.0,4,0.1025641026,39,0
A3CZZJYU9JI93H,108.5,351.07894736842104,0.0027393455867501513,79216.0,217.0,3,0.0033594625,893,0
A3DTG2QEFWI2II,113.28571428571429,155.29166666666666,0.1404782993799823,5645.0,793.0,11,0.1666666667,66,0
A3EQVDHHKZRC0K,217.15,396.5,0.07480134084296143,58769.0,4396.0,68,0.0757238307,898,1
A3EU8ENRH654SB,67.5,279.126582278481,0.00566145692173337,33207.0,188.0,3,0.0099337748,302,1
A3F7C28TEYK795,0,285.89130434782606,0.0,36633.0,0.0,0,0.0,432,1
A3FL5SZK2XRTFB,163.0,376.8453608247423,0.04413732865615711,70983.0,3133.0,37,0.0435294118,850,1
A3FPXYVABXB9IZ,284.09090909090907,182.59322033898306,0.1601742696053306,19510.0,3125.0,29,0.1518324607,191,1
A3HNEYFOIJWPH1,0,221.5686274509804,0.0,15238.0,0.0,0,0.0,141,1
A3J6YBLI6HWG6W,0,101.34782608695652,0.0,4825.0,0.0,1,0.0158730159,63,1
A3K0U7YO7V7KZF,134.9090909090909,186.88095238095238,0.14529049666919638,11859.0,1723.0,22,0.1466666667,150,1
A3L95FSCN74FIF,4416.75,2073.073684210526,0.054413702966365746,362666.0,19734.0,218,0.0593035909,3676,0
A3MHP4LZ3V88NF,84.66666666666667,85.86666666666666,0.1111597374179431,2285.0,254.0,4,0.1111111111,36,0
A3MKSFVTMOF50Y,176.4,260.1333333333333,0.04610062106623317,23991.0,1106.0,16,0.0507936508,315,0
A3NXT3OVGL7QNR,87.33333333333333,627.3283582089553,0.0072334727571402935,72441.0,524.0,7,0.0169491525,413,1
A3NXW2JI4DU0C0,166.0,536.0493827160494,0.036654022157996145,66432.0,2435.0,27,0.0419906687,643,0
A3RDJ3UZ9EJP6Y,695.875,461.84507042253523,0.11929371231696813,53406.0,6371.0,58,0.1155378486,502,0
A3RI9RLBGPG2B6,95.8,125.68333333333334,0.04140375140461578,11569.0,479.0,7,0.0419161677,167,1
A3RMV9ZGFJ0HHF,271.5,366.38461538461536,0.05932967303122183,36609.0,2172.0,18,0.0633802817,284,1
A3RVHUY67SVXQV,0,294.77272727272725,0.002853426209558978,23831.0,68.0,1,0.0059171598,169,1
A3VHDQR8A9JJ4F,0,657.5636363636364,0.0,44208.0,0.0,0,0.0,363,1
A489K1IFOM4JW,209.57142857142858,463.65,0.01965402907596057,66653.0,1310.0,15,0.0220913108,679,1
A4CHLWPHZIP7Y,50.0,189.2394366197183,0.004722996268832947,21173.0,100.0,2,0.0076335878,262,1
A4RSIQQ5UOED2,546.5714285714286,397.7669902912621,0.05844536310666971,61442.0,3591.0,54,0.0606060606,891,1
A4W9APAHFWVLO,146.35714285714286,240.38805970149255,0.07762816641205102,28147.0,2185.0,23,0.0877862595,262,1
A4W9APAHFWVLO,443.25,366.875,0.0566598491627253,31292.0,1773.0,6,0.03125,192,1
A7GT7BIC7ERWE,207.0,172.77777777777777,0.017985924059431748,23018.0,414.0,3,0.0125,240,1
A7SW6SVNJ5V6O,171.75,238.3095238095238,0.036222924394376514,21837.0,791.0,8,0.0379146919,211,1
A8C3WNWRBWUXO,655.3846153846154,365.74074074074076,0.20851875397329941,40898.0,8528.0,92,0.1928721174,477,1
A9KXY0C9JHSZL,190.5,111.52631578947368,0.10058078141499471,3788.0,381.0,4,0.0930232558,43,1
ACTQSBR4YRLZZ,212.3913043478261,265.9010989010989,0.11346204079694142,42111.0,4778.0,57,0.1233766234,462,1
AE681FG4LT6DV,0,90.83333333333333,0.0,1227.0,0.0,0,0.0,16,0
AFJFYJZ849YOZ,566.5454545454545,323.0779220779221,0.15604285951866195,42091.0,6568.0,51,0.1297709924,393,1
AI8E3ZLZ3FO6O,167.28571428571428,117.88888888888889,0.3295819935691318,3732.0,1230.0,12,0.2790697674,43,0
AIA7RZSAONU5M,298.2142857142857,279.78823529411767,0.11601931444338322,37692.0,4373.0,38,0.1214057508,313,1
AIJG3Z7ATXCTD,249.0,91.53333333333333,0.08073929961089495,3084.0,249.0,1,0.0256410256,39,1
AK52RXEJKR81A,101.0,157.07407407407408,0.05607710602077857,7989.0,448.0,4,0.0512820513,78,0
AKAM01E1R4KAF,151.42857142857142,200.53333333333333,0.033685013346892084,31468.0,1060.0,14,0.0344827586,406,1
AKK1UCZ1NC5OW,138.66666666666666,177.86666666666667,0.01884570082449941,22074.0,416.0,6,0.0236220472,254,1
AKNBC1TE88NDO,231.4,223.04347826086956,0.03702519276551896,28143.0,1042.0,10,0.0305810398,327,1
AMPR904VJJFZY,246.0,170.76923076923077,0.055502284392802755,17729.0,984.0,4,0.0229885057,174,0
ANCTZADQC3D75,375.375,1068.8021978021977,0.019010396411811983,154284.0,2933.0,27,0.0191761364,1408,1
ANX6Q4NMZL8EI,254.53846153846155,322.5833333333333,0.08437763268744734,37984.0,3205.0,29,0.0781671159,371,1
AOQU769ZT0JSD,95.0,460.81176470588235,0.007022056649518065,67644.0,475.0,7,0.0084643289,827,0
AQMLJYUQCSG22,325.14285714285717,287.625,0.07591907765934305,32179.0,2443.0,20,0.0757575758,264,1
AQWH9UY6FVU21,538.1428571428571,486.45454545454544,0.07269044298333001,60228.0,4378.0,27,0.0701298701,385,0
ARUXG5FD1Q76F,253.8,441.9125,0.027588909571862448,51035.0,1408.0,14,0.0313199105,447,1
AT6LDQNLKTUSE,297.0,263.2173913043478,0.07032914989344068,16892.0,1188.0,11,0.0607734807,181,0
ATA9BBCLTE2HS,843.0,180.9,0.2808127914723518,3002.0,843.0,3,0.1153846154,26,0
AUA3VQ48GSMLF,100.0,98.9375,0.04151100041511,2409.0,100.0,1,0.03125,32,1
AV6J56XKCIG7F,274.55555555555554,399.7070707070707,0.04335136204735835,60644.0,2629.0,19,0.0336879433,564,1
AX3KFUB3F8VOU,174.33333333333334,144.2622950819672,0.07272323740474958,13517.0,983.0,13,0.0691489362,188,0
AX8NXTT8QMGHC,123.66666666666667,448.8607594936709,0.011711403658745085,46792.0,548.0,5,0.0139275766,359,1
AXY0D2AMLKE2A,244.28571428571428,181.95,0.08058413148870758,16914.0,1363.0,13,0.0656565657,198,1
AYQTQYOLTNY0Y,129.5,95.8125,0.21005677210056772,2466.0,518.0,4,0.1333333333,30,0
AYY0UC6KCN9RW,129.8125,338.58620689655174,0.06701461377870564,33530.0,2247.0,34,0.0705394191,482,0
AYYSG3O9FNU15,143.5,228.51020408163265,0.016357004445457655,17546.0,287.0,2,0.0165289256,121,0
AZS5TQV407VDD,151.33333333333334,127.41935483870968,0.05132843414358394,8845.0,454.0,6,0.0631578947,95,0
AZU9D7YLCTAYV,596.4090909090909,512.2631578947369,0.2060627355778445,62612.0,12902.0,76,0.1771561772,429,1
p1-lab-control,202.0,204.4848484848485,0.18769787426503845,13266.0,2490.0,22,0.1833333333,120,1
p1-volunteer-cognition,229.85714285714286,203.0,0.32517548852210204,5271.0,1714.0,15,0.3488372093,43,1
p10-volunteer-cognition,177.5,244.5625,0.10890527509926262,35260.0,3840.0,49,0.1234256927,397,0
p11-volunteer-cognition,188.86363636363637,454.5135135135135,0.07492150564798442,55418.0,4152.0,54,0.1812080537,298,0
